N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
1,삼성전자,"69,050","1,450",+2.14%,100,"4,087,510","5,919,638",50.32,"6,112,191",15.42,9.03,
2,SK하이닉스,"260,000","4,000",+1.56%,"5,000","1,892,806","728,002",55.06,"818,557",6.56,31.06,
3,LG에너지솔루션,"347,000","2,000",-0.57%,500,"811,980","234,000",4.24,"78,577",-82.05,-4.93,
4,삼성바이오로직스,"1,001,000","5,000",+0.50%,"2,500","712,452","71,174",12.81,"30,521",55.40,10.45,
5,한화에어로스페이스,"935,000","19,000",+2.07%,"5,000","482,118","51,563",43.93,"77,738",18.13,53.94,
6,삼성전자우,"56,100",700,+1.26%,100,"457,762","815,975",74.20,"571,101",12.53,N/A,
7,HD현대중공업,"510,000",0,0.00%,"5,000","452,743","88,773",10.91,"94,842",48.48,11.39,
8,현대차,"219,500","1,000",-0.45%,"5,000","449,443","204,758",36.40,"246,383",5.17,12.43,
9,기아,"106,850",350,+0.33%,"5,000","420,764","393,789",40.30,"235,449",4.91,19.09,
10,KB금융,"108,200","1,100",+1.03%,"5,000","412,742","381,462",77.52,"221,056",7.51,8.86,
11,셀트리온,"170,700",900,+0.53%,"1,000","394,213","230,939",21.29,"181,965",81.25,2.46,
12,두산에너빌리티,"59,700",100,+0.17%,"5,000","382,415","640,561",23.25,"1,955,331",-357.49,1.52,
13,한화오션,"121,600","5,200",+4.47%,"5,000","372,599","306,413",14.35,"3,305,146",42.89,11.52,
14,NAVER,"226,000","10,500",+4.87%,100,"354,487","156,853",42.22,"1,452,046",18.13,7.90,
15,신한지주,"64,200",200,+0.31%,"5,000","311,688","485,495",59.47,"329,437",7.05,8.11,
16,삼성생명,"151,200","7,400",+5.15%,500,"302,400","200,000",22.18,"227,876",14.26,6.18,
17,현대모비스,"320,750",750,-0.23%,"5,000","294,433","91,795",44.06,"90,942",7.16,9.35,
18,HD한국조선해양,"415,000",0,0.00%,"5,000","293,708","70,773",32.55,"151,383",19.03,11.16,
19,삼성물산,"168,200","1,800",+1.08%,100,"285,901","169,977",27.60,"92,834",14.73,6.83,
20,카카오,"59,600","1,600",-2.61%,100,"263,506","442,125",29.58,"2,701,979",123.91,0.56,
21,한국전력,"36,900",450,+1.23%,"5,000","236,885","641,964",20.70,"840,635",3.74,9.22,
22,하나금융지주,"81,700",400,+0.49%,"5,000","232,619","284,724",66.69,"163,122",6.17,9.11,
23,HMM,"22,500",100,+0.45%,"5,000","230,634","1,025,039",6.40,"474,967",5.09,15.35,
24,메리츠금융지주,"126,100",800,+0.64%,500,"226,998","180,014",15.72,"70,201",10.32,23.44,
25,POSCO홀딩스,"278,000","3,000",-1.07%,"5,000","224,994","80,933",29.78,"111,329",47.07,2.00,
26,현대로템,"196,000","4,000",+2.08%,"5,000","213,919","109,142",31.41,"497,476",35.75,21.85,
27,삼성화재,"458,500","4,500",+0.99%,500,"210,961","46,011",55.85,"29,622",11.71,13.11,
28,SK스퀘어,"144,400",600,-0.41%,100,"191,389","132,541",53.30,"96,520",3.40,21.70,
29,LG화학,"267,000","4,500",-1.66%,"5,000","188,482","70,592",32.07,"96,555",-19.86,-2.11,
30,삼성중공업,"21,075",275,+1.32%,"1,000","185,460","880,000",31.92,"3,553,530",65.45,1.77,
31,우리금융지주,"24,550",50,+0.20%,"5,000","182,306","742,592",47.02,"255,342",6.33,9.39,
32,HD현대일렉트릭,"492,500","5,500",+1.13%,"5,000","177,532","36,047",36.32,"45,572",32.72,39.34,
33,고려아연,"830,000","14,000",+1.72%,"5,000","166,193","20,023",11.88,"9,972",42.78,2.28,
34,KT&G,"135,700","1,400",-1.02%,"5,000","165,639","122,062",41.42,"153,458",17.67,12.66,
35,삼성SDI,"201,500","1,500",-0.74%,"5,000","162,380","80,586",26.57,"203,831",-39.85,3.13,
36,크래프톤,"332,000","1,000",+0.30%,100,"157,346","47,393",42.21,"31,571",15.86,21.10,
37,SK이노베이션,"100,500",300,+0.30%,"5,000","151,790","151,035",13.51,"62,756",-5.12,-9.65,
38,기업은행,"18,960",40,+0.21%,"5,000","151,192","797,426",13.76,"246,818",5.66,8.06,
39,SK,"206,000","1,000",-0.48%,200,"149,356","72,503",25.30,"62,576",11.89,-5.64,
40,현대글로비스,"188,600","2,900",+1.56%,500,"141,450","75,000",49.95,"128,028",10.25,13.24,
41,KT,"52,200","1,100",-2.06%,"5,000","131,555","252,022",49.00,"234,396",14.15,2.85,
42,삼성전기,"169,100","6,900",+4.25%,"5,000","126,307","74,694",35.59,"542,743",22.35,8.16,
43,포스코퓨처엠,"137,600",800,-0.58%,500,"122,390","88,946",9.42,"113,371",-43.96,-7.98,
44,하이브,"284,500",500,-0.18%,500,"118,500","41,652",20.45,"53,922",212.47,0.31,
45,LG,"75,200",100,+0.13%,"5,000","118,253","157,251",34.43,"64,107",15.79,2.16,
46,LG전자,"72,500",300,+0.42%,"5,000","118,093","162,886",29.21,"245,395",17.78,1.81,
47,삼양식품,"1,563,000","4,000",-0.26%,"5,000","117,741","7,533",18.90,"11,617",36.95,39.37,
48,SK텔레콤,"54,800",0,0.00%,100,"117,705","214,790",37.45,"288,089",11.61,10.83,
49,카카오뱅크,"24,300",350,+1.46%,"5,000","115,909","476,990",16.08,"360,569",24.85,6.95,
50,효성중공업,"1,227,000","11,000",+0.90%,"5,000","114,412","9,325",25.45,"18,420",31.81,14.90,
51,삼성에스디에스,"146,900",500,+0.34%,500,"113,668","77,378",18.68,"56,017",15.12,8.42,
52,LIG넥스원,"502,000","9,000",+1.83%,"5,000","110,440","22,000",32.59,"77,813",36.22,19.59,
53,HD현대,"136,100","1,200",-0.87%,"1,000","107,510","78,993",24.44,"66,458",21.08,6.36,
54,미래에셋증권,"18,830",10,-0.05%,"5,000","107,391","570,316",13.13,"594,803",13.80,7.94,
55,한화시스템,"54,000","2,900",+5.68%,"5,000","102,016","188,919",7.00,"2,209,648",22.52,19.63,
56,DB손해보험,"138,400",700,+0.51%,500,"97,987","70,800",44.24,"108,949",5.76,18.98,
57,한국항공우주,"96,200","2,700",+2.89%,"5,000","93,771","97,475",34.99,"446,239",56.29,10.42,
58,HD현대마린솔루션,"207,500","3,500",+1.72%,500,"93,021","44,829",30.13,"25,775",38.08,44.98,
59,TIGER 미국S&P500,"22,320",15,+0.07%,0,"91,222","408,700",0.05,"3,197,513",N/A,N/A,
60,유한양행,"113,700","1,100",+0.98%,"1,000","90,924","79,968",16.71,"85,883",115.20,3.41,
61,KODEX CD금리액티브(합성),"1,073,615",70,+0.01%,0,"89,329","8,320",0.00,"115,615",N/A,N/A,
62,두산,"530,000","3,000",-0.56%,"5,000","87,576","16,524",16.96,"24,316",-75.90,-14.57,
63,대한항공,"23,400",200,-0.85%,"5,000","86,164","368,221",16.58,"401,526",6.36,13.17,
64,포스코인터내셔널,"48,200","1,050",+2.23%,"5,000","84,795","175,923",5.78,"479,007",19.39,8.14,
65,에이피알,"224,000","1,500",-0.67%,100,"83,845","37,431",24.39,"243,777",48.31,41.34,
66,LS ELECTRIC,"274,500",500,+0.18%,"5,000","82,350","30,000",24.23,"48,392",35.32,13.44,
67,HD현대미포,"200,500","1,200",+0.60%,"5,000","80,084","39,942",22.56,"139,040",54.28,5.25,
68,KODEX 머니마켓액티브,"103,675",0,0.00%,0,"79,414","76,599",0.00,"305,966",N/A,N/A,
69,한미반도체,"82,700","1,200",+1.47%,100,"78,823","95,312",7.07,"138,795",37.30,27.43,
70,SK바이오팜,"99,300","1,300",+1.33%,500,"77,765","78,313",10.70,"60,008",30.38,58.01,
71,카카오페이,"57,500",700,-1.20%,500,"77,667","135,074",33.64,"427,371","1,642.86",-0.73,
72,코웨이,"101,800","3,100",-2.96%,500,"73,203","71,909",60.08,"39,411",12.88,19.38,
73,한진칼,"109,000","1,200",-1.09%,"2,500","72,771","66,762",20.80,"19,391",16.89,16.75,
74,한국금융지주,"128,000",500,-0.39%,"5,000","71,329","55,726",37.44,"54,339",6.81,11.54,
75,KODEX 200,"42,900",425,+1.00%,0,"70,206","163,650",31.06,"3,383,201",N/A,N/A,
76,아모레퍼시픽,"117,350",650,-0.55%,500,"68,641","58,493",22.86,"162,162",62.49,11.69,
77,NH투자증권,"19,090",30,-0.16%,"5,000","68,026","356,344",14.16,"166,914",9.88,8.73,
78,S-Oil,"59,100",400,-0.67%,"2,500","66,536","112,583",74.54,"102,262",-15.34,-2.18,
79,현대건설,"59,500","1,100",-1.82%,"5,000","66,257","111,356",24.20,"448,367",-25.76,-2.09,
80,LG씨엔에스,"67,500","1,800",+2.74%,500,"65,398","96,886",6.47,"223,089",15.23,18.32,
81,한화,"85,800",600,+0.70%,"5,000","64,315","74,959",16.79,"213,694",7.13,7.19,
82,삼성증권,"67,700",300,-0.44%,"5,000","60,456","89,300",28.52,"47,810",6.76,12.89,
