1,이트론,11,3,-21.43%,"67,752,763",783,11,12,100,0.55,-2.85
2,빌리언스,448,20,-4.27%,"27,201,479","13,494",453,454,182,-8.15,-10.32
3,현대무벡스,"5,880","1,225",+26.32%,"23,498,465","135,743","5,850","5,860","6,549",26.73,16.17
4,크레오에스지,451,86,+23.56%,"19,861,063","8,372",450,452,871,-5.07,-29.01
5,러셀,"2,325",260,+12.59%,"17,920,237","43,156","2,325","2,330",740,-332.14,8.06
6,유니슨,"1,261",214,+20.44%,"17,487,050","21,432","1,269","1,270","2,153",-11.90,-36.03
7,이화전기,81,13,-13.83%,"17,046,630","1,415",80,81,177,1.65,-5.83
8,태웅로직스,"3,485",460,+15.21%,"13,148,979","45,966","3,445","3,450","1,384",6.60,12.68
9,일승,"6,130",160,+2.68%,"10,699,428","68,824","6,150","6,160","1,884",37.38,4.57
10,스맥,"3,870",120,+3.20%,"10,366,299","40,792","3,890","3,895","2,641",24.19,18.73
11,동방선기,"4,620",135,+3.01%,"9,241,467","44,400","4,645","4,650",647,11.00,15.71
12,다날,"8,490",150,-1.74%,"8,545,614","72,548","8,550","8,560","5,854",-72.56,2.46
13,코닉오토메이션,"2,340",110,+4.93%,"8,255,981","19,806","2,305","2,310",984,-68.82,3.92
14,디에이치엑스컴퍼니,"1,000",110,+12.36%,"8,007,422","8,737","1,006","1,007",172,-0.67,-32.48
15,삼화네트웍스,"1,516",43,+2.92%,"7,929,835","12,580","1,522","1,525",654,-18.95,3.25
16,오리엔탈정공,"7,890",520,+7.06%,"7,750,775","63,071","7,900","7,930","3,596",13.67,26.45
17,KD,678,52,+8.31%,"7,489,338","5,142",635,637,181,-1.49,12.56
18,케이에스피,"5,540",260,+4.92%,"7,061,939","40,466","5,520","5,530","2,227",19.10,25.99
19,동일스틸럭스,"1,527",8,+0.53%,"7,055,811","11,738","1,585","1,587",399,-4.80,-28.53
20,성호전자,"1,062",35,+3.41%,"6,576,490","7,536","1,068","1,069",753,-8.78,6.54
21,썸에이지,557,21,-3.63%,"6,206,582","3,542",558,559,776,-9.77,-28.33
22,뉴로핏,"12,800","2,500",+24.27%,"6,181,878","75,068","12,860","12,870","1,479",-7.55,34.38
23,조아제약,"1,171",159,+15.71%,"6,179,417","7,424","1,164","1,165",363,-3.59,-26.54
24,올릭스,"76,400","상한가17,600",+29.93%,"6,022,713","431,724","76,400",0,"15,362",-30.91,-120.11
25,한라캐스트,"4,670",300,+6.86%,"5,572,506","26,642","4,710","4,715","1,705",12.10,46.18
26,휴림로봇,"2,605",90,+3.58%,"5,451,284","14,252","2,590","2,595","3,112",162.81,-5.59
27,삼영엠텍,"9,080",150,-1.63%,"5,312,618","49,491","9,120","9,130","1,180",13.27,8.54
28,미투온,"6,140",180,+3.02%,"4,661,396","27,956","6,020","6,030","1,866",N/A,0.40
29,손오공,"1,086",11,+1.02%,"4,526,883","4,955","1,091","1,093",727,-4.96,-38.27
30,피델릭스,"1,289",31,+2.46%,"4,410,782","5,711","1,296","1,297",427,-8.42,-4.53
31,현대ADM,"2,740",40,+1.48%,"4,283,739","12,164","2,755","2,760","1,325",-14.65,-118.31
32,디와이디,357,38,+11.91%,"4,233,536","1,528",354,356,447,-0.92,-241.11
33,현대힘스,"27,450",200,+0.73%,"4,223,481","119,200","27,500","27,550","9,739",51.21,8.07
34,소니드,446,25,+5.94%,"3,984,764","1,851",442,443,329,-0.47,-74.62
35,텔콘RF제약,"1,846",21,+1.15%,"3,975,072","7,696","1,843","1,845",422,-3.22,-28.11
36,제닉스로보틱스,"9,030",760,+9.19%,"3,948,667","36,883","9,010","9,020","1,185","-4,515.00",15.62
37,원풍물산,585,89,-13.20%,"3,938,133","2,490",588,590,238,-7.70,-23.77
38,모비스,"2,885",80,-2.70%,"3,801,818","11,322","2,885","2,890",928,-17.28,32.31
39,우리기술,"3,680",25,-0.67%,"3,773,940","14,168","3,710","3,715","6,092",38.33,-3.33
40,케이엔알시스템,"12,650",590,-4.46%,"3,766,506","50,541","12,810","12,830","1,376",-19.05,-43.41
41,아이비젼웍스,"1,375",7,-0.51%,"3,595,429","5,198","1,376","1,382",467,-5.43,-17.05
42,레이저옵텍,"7,450",510,+7.35%,"3,478,251","27,744","7,830","7,860",914,-15.27,N/A
43,서남,"3,060",255,-7.69%,"3,464,526","10,984","3,090","3,095",739,-18.43,-41.79
44,에스피시스템스,"9,280",100,-1.07%,"3,427,562","33,159","9,240","9,290","1,000",-37.12,-3.83
45,CSA 코스믹,974,40,-3.94%,"3,387,577","3,393",981,982,597,-8.94,-32.17
46,에스엠코어,"4,375",5,+0.11%,"2,932,825","13,277","4,440","4,460",876,14.78,21.04
47,좋은사람들,"2,090",40,-1.88%,"2,757,696","5,837","2,090","2,095","2,026",-43.54,0.60
48,파인메딕스,"8,690","1,240",+16.64%,"2,716,519","23,537","8,550","8,560",489,-79.72,-0.15
49,에이프릴바이오,"24,650","1,450",+6.25%,"2,625,066","65,934","24,700","24,750","5,563",573.26,26.90
50,클로봇,"19,240",310,+1.64%,"2,507,918","49,370","19,300","19,310","4,765",-61.47,-15.71
51,SGA,"3,275",85,-2.53%,"2,296,746","7,568","3,290","3,295","1,928",-218.33,-3.07
52,원익홀딩스,"8,990",0,0.00%,"2,295,136","20,734","8,970","8,980","6,944",-16.50,-7.41
53,로보티즈,"93,900","6,000",+6.83%,"2,262,007","212,071","93,700","93,800","12,414",988.42,-3.31
54,PS일렉트로닉스,"4,625",205,-4.24%,"2,214,922","10,368","4,640","4,645","1,998",-49.20,-9.27
