NO,지역명,매장명,주소,전화
1,서울 동작구,신대방삼거리역점,서울특별시 동작구 상도로 60 (대방동) 1층~2층,02-823-2377
2,서울 영등포구,여의도포스트타워점,서울특별시 영등포구 여의나루로 60 포스트타워 여의도 1층,02-2135-5321
3,서울 영등포구,대림역점,서울특별시 영등포구 도림로 140 대림빌딩 101호,02-834-1000
4,서울 서대문구,충정로역점,서울특별시 서대문구 경기대로 26-26 어바니엘충정로 201동 지하1층 102호,02-363-0807
5,서울 양천구,서서울공원점,서울특별시 양천구 남부순환로58길 37 신월동 205-36,070-4277-6756
6,서울 동대문구,경희대 청운관점,서울 동대문구 경희대로 26 청운관 지하1층,
7,서울 강북구,덕성여대점,서울시 강북구 삼양로 547 1~3층,02-6093-0011
8,서울 영등포구,당산1가점,서울특별시 영등포구 양산로 146  DE' HAR (당산동1가 256 258),02-2679-7942
9,서울 중구,메리츠봉래타워점,서울시 중구 칠패로 28 메리츠강북타워 1층,02-753-8835
10,서울 강동구,길동포유르센티점,서울특별시 강동구 진황도로 104 1층 101~102호(길동 458),02-487-9997
11,서울 강동구,고덕비즈밸리점,서울특별시 강동구 고덕비즈밸리로 38 (고덕동) KS타워 101호~102호,070-7782-0055
12,서울 강남구,파르나스몰점,서울특별시 강남구 테헤란로 521 (삼성동  파르나스타워) 파르나스몰 내 B1층 F-3a호,02-3453-1024
13,서울 노원구,석계역점,서울시 노원구 화랑로 325 1층,02-942-1345
14,서울 성북구,국민대 성곡도서관점,서울특별시 성북구 정릉로 77 (정릉동  국민대학교) 도서관 지하1층,02-910-4954
15,서울 동대문구,경희대 경영대점,서울특별시 동대문구 경희대로 26 (회기동) 경영대학 3층,
16,서울 중구,명동역점,서울특별시 중구 퇴계로 131 (충무로2가  신일빌딩),02-752-5925
17,서울 성동구,왕십리역점,서울특별시 성동구 왕십리광장로 17 (행당동  왕십리민자역사) 비트플렉스몰 3층 영풍문고 내,02-2200-1303
18,서울 성동구,소월아트홀점,서울특별시 성동구 왕십리로 275-1 (행당동 133-2),02-2294-7002
19,서울 송파구,송파거여역점,서울특별시 송파구 오금로 513 (위례빌딩 1층)  거여동 37,02-449-6232
20,서울 서초구,서초마제스타시티점,서울특별시 서초구 서초대로38길 12 (힐스테이트서리풀),02-6411-0063
21,서울 송파구,잠실새내역점,서울특별시 송파구 올림픽로12길 8 (잠실동  제일빌딩),02-416-2085
22,서울 중랑구,중랑역점,서울특별시 중랑구 망우로 210 (상봉동),0260857858
23,서울 광진구,강변역점,서울 광진구 구의강변로 64  구의아크로리버 1층 구의동 589-10,070-7802-0303
24,서울 용산구,용산아이파크몰점,서울특별시 용산구 한강대로23길 55  서관 4층 (한강로3가  용산역),02-2012-0473
25,서울 강서구,등촌역점,서울특별시 강서구 등촌로 229 (등촌동) 1~2층,02-2655-2290
26,서울 구로구,오류동점,서울특별시 구로구 경인로 224 (오류동  칸타빌레5차),02-2625-4854
27,서울 송파구,잠실학원사거리점,서울특별시 송파구 석촌호수로 130 (삼전동  신원빌딩) 삼전동 1-1외 3필지,02-3431-4662
28,서울 강서구,발산역점,서울특별시 강서구 강서로 357 (내발산동),02-2663-4976
29,서울 양천구,목동파리공원점,서울특별시 양천구 목동서로 57 (목동  현대파리지앙),02-2645-8497
30,서울 은평구,북한산DI점,서울특별시 은평구 북한산로 248-8 (진관동  자돈),02-3157-4843
31,서울 구로구,신도림테크노마트점,서울특별시 구로구 새말로 97 (구로동  신도림테크노마트) 104~106호,02-2111-1300
32,서울 중구,KG타워점,서울특별시 중구 통일로 92 (순화동  케이지타워) 1층,02-777-5559
33,서울 송파구,올림픽공원역점,서울특별시 송파구 올림픽로 424 (방이동  올림픽공원) (A-3동 C구역 ),02-420-9997
34,서울 마포구,신촌역점,서울특별시 마포구 신촌로 88 (노고산동  태영빌딩) 2층,02-325-7588
35,서울 노원구,노원역점,서울특별시 노원구 노해로 488 (상계동  근호빌딩) 1층,02-933-8824
36,서울 금천구,가산대륭22차점,서울특별시 금천구 가산디지털1로 146 109 110 111호,02-2059-1131
37,서울 마포구,연트럴파크점,서울특별시 마포구 동교로 233 (연남동),02-335-7805
38,서울 강남구,강남우리라운지점,서울특별시 강남구 테헤란로 301 역삼동 701-02 삼정빌딩 L층,02-566-1002
39,서울 용산구,이태원역점,서울특별시 용산구 이태원로 180 2층~3층,02-749-8752
40,서울 양천구,오목교역점,서울특별시 양천구 오목로 344 (목동  청학빌딩) 1층,02-2062-8405
41,서울 금천구,시흥사거리점,서울특별시 금천구 시흥대로 225 1층 시흥동 994-9,02-804-9226
42,서울 강남구,강남역2점,서울특별시 강남구 강남대로 422 (역삼동) 역삼동816 816-7 816-8,02-568-9056
43,서울 용산구,숙대입구점,서울특별시 용산구 청파로 276 2층~3층,02-704-9636
44,서울 서대문구,홍제천점,서울특별시 서대문구 홍제내길 52 1~2층 (홍제동 361-49),02-396-0903
45,서울 종로구,종각역점,서울특별시 종로구 종로 60-1 종로2가 102-3,02-736-3399
46,서울 동작구,장승배기역점,서울특별시 동작구 장승배기로11가길 11  1층 105호 (상도동  상도파크자이),02-812-9330
47,서울 동작구,중앙대점,서울특별시 동작구 흑석로 77 (흑석동) 1~4층,02-3280-3280
48,서울 종로구,독립문역점,서울특별시 종로구 통일로 230 (무악동  경희궁롯데캐슬) 상가동 1층 117호,010-2594-7308
49,서울 종로구,성균관대점,서울특별시 종로구 성균관로 6 (명륜2가 204) 1~4층,02-743-8526
50,서울 노원구,태릉입구역점,서울특별시 노원구 화랑로 453 (공릉동  그린힐) 1층,02-976-0078
51,서울 구로구,구로디지털점,서울특별시 구로구 디지털로31길 12  1층 105 106호 (구로동 197-21),070-7576-4842
52,서울 종로구,청계천점,서울특별시 종로구  청계천로 81 1 2 3 4층,02-735-5462
53,서울 강남구,청담삼성로점,서울특별시 강남구 삼성로119길 8 (삼성동  강남대학교청담카이로스빌딩) 1층,02-541-7755
54,서울 강동구,고덕그라시움후문점,서울특별시 강동구 동남로82길 77-1 (고덕동) 2층~4층 고덕동 258-4,02-2088-0831
55,서울 영등포구,보라매역점,서울특별시 영등포구 여의대방로 145 (세인트빌딩) 신길동 505 1층,02-845-1097
56,서울 강북구,미아역점,서울특별시 강북구 도봉로 203  1-2층 미아동 209-2,02-980-7374
57,서울 관악구,신림역점,서울특별시 관악구 신림로 313 (신림동) 2-3층,02-877-5596
58,서울 동작구,대방역점,서울특별시 동작구 알마타길 6 (대방동  파밀리에 하늘마루) 101호  102호,02-825-6369
59,서울 강남구,강남대로논현점,서울특별시 강남구 강남대로 520 (논현동 164번지  영동빌딩),02-6012-2372
60,서울 마포구,홍대거리점,서울특별시 마포구 어울마당로 76-1  2~4층 (서교동 364-19) 할리스,02-323-3795
61,서울 노원구,수락산역점,서울특별시 노원구 동일로239가길 22 (상계동  한올빌딩) 2층,02-951-3266
62,서울 구로구,구로거리공원점,서울특별시 구로구 구로중앙로28길 52  구로동 109-1,02-838-7008
63,서울 서초구,교대역점,서울특별시 서초구 반포대로30길 81 (서초동  웅진타워) 1층,02-521-8944
64,서울 구로구,구로디지털단지역점,서울특별시 구로구 디지털로32나길 38 (구로동  서림빌딩) 1층,02-851-3365
65,서울 마포구,공덕경의선숲길점,서울특별시 마포구 백범로28길 22  일양빌딩 신관 1층 (염리동 164-1),02-701-3967
66,서울 마포구,홍대역2번출구점,서울특별시 마포구 동교로 200 1~3층 동교동 158-26,02-332-8079
67,서울 송파구,가락시장역점,서울특별시 송파구 중대로 130 가락동112-2  원전빌딩 1층,02-3401-5337
68,서울 강남구,코엑스점,서울특별시 강남구 영동대로 513  코엑스 지하 1층  C113호 (삼성동 159)  할리스,02-6002-3100
69,서울 서대문구,서대문농협생명빌딩점,서울시 서대문구 통일로 87  미근동 257  NH농협생명빌딩 동관 1층,02-364-7787
70,서울 강서구,마곡나인스퀘어점,서울특별시 강서구 공항대로 206 (마곡동  나인스퀘어) 마곡동 800  101 102 103호,02-2664-7876
71,서울 중구,명동퍼시픽호텔점,서울특별시 중구 퇴계로20길 2 (남산동2가  퍼시픽호텔) 1층,02-3789-8747
72,서울 동작구,보라매병원점,서울시 동작구 보라매로5길 20 서울특별시보라매병원 희망관 1층,02-831-3085
73,서울 마포구,공덕점,서울특별시 마포구  마포대로 143 (공덕동  마포공덕파크팰리스 Ⅱ) 1층 (114~121호),02-701-5785
74,서울 마포구,홍대역점,서울특별시 마포구 어울마당로 111 (동교동) 2~4층,02-323-7791
75,서울 서대문구,신촌연세로점,서울특별시 서대문구 연세로 5  1층 (창천동 30-7) 할리스,02-322-3684
76,서울 구로구,구로역점,서울특별시 구로구 새말로 18-29 (구로동),02-862-3216
77,서울 마포구,공덕역북카페점,서울특별시 마포구 마포대로 100 (공덕동  공덕역) 북카페 지하1층  공덕동 423-29,없음
78,서울 영등포구,전경련회관점,서울특별시 영등포구 여의대로 24 (여의도동  전국경제인연합회회관) 지하 1층 B109~111호,02-786-3485
79,서울 성동구,한양대병원점,서울특별시 성동구 왕십리로 222-1  한양대학교병원 본관 1층 (사근동 110  한양대학부속병원) 할리스,02-2281-2116
80,서울 종로구,종로5가점,서울특별시 종로구 동호로 401,02-2266-1989
81,서울 영등포구,여의도파이낸스타워점,서울특별시 영등포구 국제금융로2길 32  여의도파이낸스타워 1층(여의도동 23-8),02-761-3154
82,서울 종로구,서울대병원점,서울특별시 종로구 대학로 101 (연건동  서울대학교의과대학),02-741-5815
83,서울 영등포구,구로디지털뉴스테이점,서울시 영등포구 시흥대로 595 104~5호,070-7547-4100
84,서울 종로구,센터포인트점,서울특별시 종로구 새문안로5길 31  센터포인트광화문빌딩 1층 (도렴동 65  센터포인트 광화문) 할리스,02-6031-6213
85,서울 서초구,백석예술대학교점,서울특별시 서초구 방배로9길 23 (백석예술대학교 신관 1층) 방배동 981-17,02-585-9150
86,서울 관악구,난곡사거리점,서울 관악구 남부순환로 1489 신림동 526-13,02-865-0012
87,서울 강남구,선릉샹제리제점,서울특별시 강남구 테헤란로 406 (대치동  샹제리제센터) A동 1층,02-501-4255
88,서울 서초구,(하)만남의광장점,서울특별시 서초구 양재대로12길 73-71 (원지동  만남의광장) 할리스커피,02-578-3372
89,서울 중구,충무로역점,서울특별시 중구 퇴계로36길 2 (필동2가  동국대학교충무로영상센터),02-2268-8960
90,서울 강남구,수서점,서울특별시 강남구 밤고개로1길 10 지하1층 25호(수서현대벤쳐빌),02-451-0723
91,서울 서초구,고속터미널영동선점,서울특별시 서초구 신반포로 194 (강남고속버스터미널) 2층 A-2호,02-591-1555
92,서울 금천구,가산디지털단지점,서울특별시 금천구 가산디지털1로 186 (가산동  제이플라츠) 가산동 459-11,02-2028-7111
93,서울 서초구,남부터미널점,서울특별시 서초구 서초중앙로 52 (서초동  영진빌딩) 서초동 1623-10,02-584-9500
94,서울 강동구,고덕리앤파크점,서울특별시 강동구 상일로 151 1층(고덕동 182),02-441-1121
95,서울 강남구,한티역점,서울특별시 강남구 도곡로 414 (대치동  삼성빌딩),02-538-8886
96,서울 중구,충정래미안점,서울특별시 중구 중림로 21 (중림동  더플레이스충정로) B204호,02-363-1388
97,서울 동작구,노량진역점,서울특별시 동작구 노량진로 157 2-5층,02-827-0280
98,서울 강동구,굽은다리역점,서울특별시 강동구 양재대로 1591   1층 (천호동 31-2),02-488-5077
