Name,Address,Tel
삼성봉은사거리점,"서울시 강남구 영동대로 607 1,2층",02-3443-5618
코엑스웨스틴서울점,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,02-569-3103
삼성오크우드점,서울 강남구 테헤란로87길 46 지하 2층,02-3466-8507
삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층,02-538-4523
도심공항타워점,서울시 강남구 테헤란로87길 36 공항타워 1층,02-2016-5330
트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층,02-803-9994
도심공항점,서울시 강남구 테헤란로87길22 도심공항터미널 지하1층,02-551-6456
파르나스몰점,서울시 강남구 테헤란로521 파르나스몰 지하1층,02-538-2008
삼성로점,"서울시 강남구 삼성로 551 1층,2층",02-552-9311
삼성루첸타워점,서울 강남구 대치동 943-2 루첸타워 1층 로비,02-994-8879
삼성역글라스타워뒷점,서울시 강남구 영동대로85길 9 (대치동) 서전빌딩1층,02-552-3363
포스코옆삼성로86길점,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층,02-569-7501
청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층,02-542-2053
선릉KSA한국표준협회점,서울시 강남구 테헤란로69길 5 DT센터점 1층,02-3141-7948
강남포스코센터점,서울 강남구 삼성로85길 11 생활편의시설동 B05호,02-541-7404
테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층,02-538-9927
선릉로93길점,서울시 강남구 선릉로93길 6(역삼동) 1층,02-552-3177
선릉로86길점,서울시 강남구 선릉로86길 11,02-2051-8875
선정릉역점,서울시 강남구 봉은사로 331 SH빌딩점 B1-1층,02-2058-3028
선릉역3번출구세방빌딩점,서울특별시 강남구 선릉로 433 세방빌딩 1층,02-2051-9328
청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호",02-548-6052
청담카페점,"서울시 강남구 도산대로 67길 7,파크빌딩 1층",02-514-5622
테헤란로비젼타워점,서울시 강남구 테헤란로 312 707-2번지1층,02-558-7101
영동고앞점,"서울시 강남구 선릉로 749 1,2층",02-544-3794
마포경찰공제회점,"서울시 마포구 마포대로 78 (도화동 566), 경찰공제회 자람빌딩 1층",02-704-6591
하나은행경복궁역점,"서울시 종로구 사직로 130,1 현대적선빌딩1층",02-733-5108
서울대입구역점,"서울시 관악구 관악로 161 층일부 2,3층",02-882-3101
경복궁역3번출구점,서울특별시 종로구 자하문로 10,02-557-0510
성남신흥점,경기도 성남시 수정구 수정로 190 (신흥동),031-759-6675
청주지웰시티점,"충북 청주시 흥덕구 대농로 17 지웰시티몰 1층 124-1,125,126호",043-238-3151
여의도신영증권별관점,서울시 영등포구 국제금융로8길6 신영증권별관빌딩2층,02-782-1125
브라이튼여의도점,"서울특별시 영등포구 국제금융로 39, 앵커원 1층",02-952-9577
여의도SK증권빌딩점,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층,02-6484-5150
현대자동차여의도점,서울시 영등포구 국제금융로 20 1층,02-783-3391
신촌점,서울시 서대문구 창천 18-26호 B1,02-363-5572
IFC MALL점,서울시 영등포구 국제금융로10 IFC Mall L2 층,02-6137-5056
여의도교보증권카페점,서울시 영등포구 의사당대로 97 교보증권빌딩 2층,02-785-8845
여의도교보증권점,서울시 영등포구 의사당대로 97 26-4 교보증권빌딩1층,02-783-6058
여의도순복음교회옆점,서울시 영등포구 여의서로 43 한서리버파크2층,02-780-7758
홍대역8번출구점,서울시 마포구 양화로18안길 7 2층,02-338-9463
홍대역점,서울시 마포구 홍익로 6길 26,02-333-4278
분당차병원점,"경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)",031-781-0471
분당차병원본관앞점,경기도 성남시 분당구 야탑로64 DS타워 1층,031-8017-8243
타임스퀘어점,서울시 영등포구 영중로15 타임스퀘어 1층,02-2635-8830
대전시청역점,"대전광역시 서구 둔산동 1451, 둔산타워 제1층 제101호",042-484-8926
강북구청앞점,"서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)",02-994-8878
구로G-ValleyMall,서울시 구로구 디지털로300 지밸리비즈플라자 2층,02-6344-3966
하남신세계백화점B1점,"경기도 하남시 미사대로 750, 신세계백화점 지하1층 식품관",031-8072-1641
디큐브시티점,서울시 구로구 경인로 662 디큐브시티 4층,02-2210-9484
문래동점,서울시 영등포구 문래동6가 5번지 1층,02-2069-3157
KB국민은행노원역점,"서울시 노원구 동일로 1405, 1층 일부",02-930-9486
응암동점,"서울시 은평구 은평로 121(응암동), 메디컬빌딩",02-389-6283
서현역점,경기도 성남시 서현동 246-4 1층,031-706-7952
마리오아울렛점,서울시 금천구 디지털로9길 23 마리오-2관 패션타워3층,02-857-5501
분당수내점,경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층,031-713-9937
안양시청앞점,"경기도 안양시 동안구 시민대로 260, 1층 104,105호",031-5177-4770
