Name,Address,Tel,X,Y
코엑스웨스틴서울점,서울시 강남구 봉은사로 524 코엑스 인터컨티넨탈아케이드,02-569-3103,127.057115600619,37.5129534255276
삼성오크우드점,서울 강남구 테헤란로87길 46 지하 2층,02-3466-8507,127.058205573267,37.5109823973192
삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층,02-538-4523,127.064164448221,37.5146694627537
도심공항타워점,서울시 강남구 테헤란로87길 36 공항타워 1층,02-2016-5330,127.058597240146,37.5102336492314
트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층,02-803-9994,127.061023782931,37.510356849269
도심공항점,서울시 강남구 테헤란로87길22 도심공항터미널 지하1층,02-551-6456,127.059443354483,37.5096322564759
파르나스몰점,서울시 강남구 테헤란로521 파르나스몰 지하1층,02-538-2008,127.06080691987,37.5091916919873
삼성로점,"서울시 강남구 삼성로 551 1층,2층",02-552-9311,127.054150521266,37.5107115918746
삼성루첸타워점,서울 강남구 대치동 943-2 루첸타워 1층 로비,02-994-8879,127.058776738588,37.5070611225729
삼성역글라스타워뒷점,서울시 강남구 영동대로85길 9 (대치동) 서전빌딩1층,02-552-3363,127.062895193334,37.5070873831686
포스코옆삼성로86길점,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층,02-569-7501,127.058292440311,37.50589366006
청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층,02-542-2053,127.050036555762,37.5199060766075
선릉KSA한국표준협회점,서울시 강남구 테헤란로69길 5 DT센터점 1층,02-3141-7948,127.052402933477,37.5061948324582
강남포스코센터점,서울 강남구 삼성로85길 11 생활편의시설동 B05호,02-541-7404,127.056186481052,37.5045993053356
테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층,02-538-9927,127.053159553826,37.5047428849251
선릉로93길점,서울시 강남구 선릉로93길 6(역삼동) 1층,02-552-3177,127.047899800263,37.5056868654944
선릉로86길점,서울시 강남구 선릉로86길 11,02-2051-8875,127.050586603895,37.5034040395308
선정릉역점,서울시 강남구 봉은사로 331 SH빌딩점 B1-1층,02-2058-3028,127.042972144359,37.5102810924204
선릉역3번출구세방빌딩점,서울특별시 강남구 선릉로 433 세방빌딩 1층,02-2051-9328,127.048914400159,37.503773975836
청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호",02-548-6052,127.047232410937,37.5252547717564
청담카페점,"서울시 강남구 도산대로 67길 7,파크빌딩 1층",02-514-5622,127.044387474036,37.5244894827177
마포경찰공제회점,"서울시 마포구 마포대로 78 (도화동 566), 경찰공제회 자람빌딩 1층",02-704-6591,126.949787848373,37.5418967410602
서울대입구역점,"서울시 관악구 관악로 161 층일부 2,3층",02-882-3101,126.952183895644,37.4796070667241
경복궁역3번출구점,서울특별시 종로구 자하문로 10,02-557-0510,126.972649439494,37.5769954696057
성남신흥점,경기도 성남시 수정구 수정로 190 (신흥동),031-759-6675,127.140977607565,37.4434253308098
여의도신영증권별관점,서울시 영등포구 국제금융로8길6 신영증권별관빌딩2층,02-782-1125,126.929697406323,37.5218090317976
브라이튼여의도점,"서울특별시 영등포구 국제금융로 39, 앵커원 1층",02-952-9577,126.929338616058,37.5242915298626
여의도SK증권빌딩점,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층,02-6484-5150,126.928066576601,37.5197460148873
현대자동차여의도점,서울시 영등포구 국제금융로 20 1층,02-783-3391,126.927297465564,37.5248882861767
IFC MALL점,서울시 영등포구 국제금융로10 IFC Mall L2 층,02-6137-5056,126.924876706923,37.5251775245928
