강좌번호,학생번호,신청일,점수
C401,92414033,98/03/02,85
C301,92414033,98/03/02,80
C421,92414033,98/03/02,
C401,95414058,98/03/03,90
C301,95414058,98/03/03,80
C312,95414058,98/03/03,80
C401,92514023,98/03/03,
C301,92514023,98/03/03,70
C401,92414029,98/03/03,90
C421,92414029,98/03/03,
C312,92414029,98/03/03,70
E221,92414029,98/03/03,75
A109,92414029,98/03/03,90
C301,92514009,98/03/03,70
E221,92514009,98/03/03,85
C301,96414404,98/03/04,75
C401,96414404,98/03/04,75
C421,96414404,98/03/04,75
C312,92454018,98/03/04,90
E221,92454018,98/03/04,90
A109,95454003,98/03/05,85
C301,95454003,98/03/05,83
E221,95454003,98/03/05,75
