시도,시군구,기관유형,상위 보건기관명,보건기관명,주소,읍면동명,도서지역 여부,대표 전화번호
서울특별시,종로구,보건소,종로구보건소,종로구보건소,"서울특별시 종로구 자하문로19길 36 (옥인동, 종로구보건소, 청운효자동자치회관) 1~4층",청운효자동,아니오,02-2148-3514
서울특별시,중구,보건소,서울중구보건소,서울중구보건소,"서울특별시 중구 다산로39길 16 (무학동, 중구보건소) ",신당동,아니오,02-3396-6302
서울특별시,중구,일반보건지소,서울중구보건소,약수보건지소 ,"서울특별시 중구 다산로 92 (신당동, 약수동주민센터) 약수동주민센터",신당동,아니오,02-3396-6964
서울특별시,중구,일반보건지소,서울중구보건소,황학보건지소 ,"서울특별시 중구 난계로11길 52 (황학동, 황학동주민센터) 황학동주민센터",황학동,아니오,02-3396-6989
서울특별시,중구,일반보건지소,서울중구보건소,다산보건지소 ,"서울특별시 중구 동호로15길 50 (신당동, 동사무소어린이집) ",신당동,아니오,02-3396-6959
서울특별시,용산구,보건소,용산구보건소,용산구보건소,"서울특별시 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운) ",이태원동,아니오,02-2199-8350
서울특별시,성동구,보건소,성동구보건소,성동구보건소,"서울특별시 성동구 마장로23길 10 (홍익동, 성동구보건소) ",왕십리도선동,아니오,02-2286-7115
서울특별시,성동구,일반보건지소,성동구보건소,성수보건지소,"서울특별시 성동구 왕십리로5길 3 (성수동1가, 성수1가제2동 공공복합청사) ",성수1가2동,아니오,02-2286-7822
서울특별시,광진구,보건소,광진구보건소,광진구보건소,"서울특별시 광진구 자양로 117 (자양동, 광진구청), 보건소 보건소",자양동,아니오,02-450-1422
서울특별시,광진구,일반보건지소,광진구보건소,중곡보건지소,"서울특별시 광진구 긴고랑로 110 (중곡동, 중곡종합건강센터) 중곡보건지소",중곡동,아니오,02-450-1424
서울특별시,광진구,일반보건지소,광진구보건소,자양보건지소 ,"서울특별시 광진구 아차산로24길 17 (자양동, 자양공공힐링센터) 2층(자양보건지소)",자양동,아니오,02-450-7011
서울특별시,동대문구,보건소,동대문구보건소,동대문구보건소,"서울특별시 동대문구 천호대로 145 (용두동, 동대문구청) 보건소",용두동,아니오,02-2127-5404
서울특별시,중랑구,보건소,중랑구보건소,중랑구보건소,"서울특별시 중랑구 봉화산로 179 (신내동, 중랑구청) 중랑구 보건소",신내제2동,아니오,02-2094-0114
서울특별시,중랑구,일반보건지소,중랑구보건소,상봉보건지소,"서울특별시 중랑구 동일로114길 10 (상봉동, 상봉2동 복합청사) 상봉보건지소",상봉제2동,아니오,02-2094-0500
서울특별시,성북구,보건소,성북구보건소,성북구보건소,"서울특별시 성북구 화랑로 63 (하월곡동, 성북구보건소) 성북구보건소",하월곡동,아니오,02-2241-1749
서울특별시,성북구,일반보건지소,성북구보건소,동선도시보건지소,"서울특별시 성북구 아리랑로3길 8 (동소문동6가, 성북구보건지소 ,동선보건지소) ",동소문동6가,아니오,02-2241-6216
서울특별시,성북구,일반보건지소,성북구보건소,정릉보건지소,"서울특별시 성북구 보국문로4길 8 (정릉동, 대진빌딩) ",정릉동,아니오,02-2241-5990
서울특별시,성북구,일반보건지소,성북구보건소,장위석관보건지소,"서울특별시 성북구 한천로 568 (석관동, 장위석관보건지소) ",석관동,아니오,02-2241-6255
서울특별시,강북구,보건소,강북구보건소,강북구보건소,"서울특별시 강북구 한천로 897 (번동, 강북보건소,번2동 주민센터) 강북구보건소",번2동,아니오,02-901-7612
서울특별시,도봉구,보건소,도봉구보건소,도봉구보건소,"서울특별시 도봉구 방학로3길 117 (쌍문동, 도봉보건소, 쌍문2동주민센터) 도봉구 보건소",쌍문동,아니오,02-2091-4600
서울특별시,도봉구,일반보건지소,도봉구보건소,창동보건지소,"서울특별시 도봉구 덕릉로59길 73-3 (창동, 창2동주민센터(창동보건지소)) 창동 보건지소",창동,아니오,02-2091-5452
서울특별시,노원구,보건소,노원구보건소,노원구보건소,"서울특별시 노원구 노해로 437 (상계동, 노원구청), 보건소 노원구보건소",상계동,아니오,02-2116-3115
서울특별시,노원구,일반보건지소,노원구보건소,월계보건지소,"서울특별시 노원구 월계로 378 (월계동, 월계보건지소) ",월계동,아니오,02-2116-2987
서울특별시,노원구,일반보건지소,노원구보건소,마들보건지소,"서울특별시 노원구 수락산로 212-20 (상계동, 마들보건지소) ",상계동,아니오,02-2116-4972
서울특별시,노원구,일반보건지소,노원구보건소,상계보건지소 ,"서울특별시 노원구 상계로 118 (상계동, 상계2동주민센터) 3층",상계동,아니오,02-2116-4989
서울특별시,노원구,일반보건지소,노원구보건소,공릉보건지소 ,"서울특별시 노원구 공릉로 166-1 (공릉동, 공릉보건지소) ",공릉동,아니오,02-2116-4972
서울특별시,은평구,보건소,은평구보건소,은평구보건소,"서울특별시 은평구 은평로 195 (녹번동, 은평구청), 은평구보건소 (녹번동)",녹번동,아니오,02-351-8153
서울특별시,은평구,일반보건지소,은평구보건소,구산보건지소,"서울특별시 은평구 연서로13길 29-7 (구산동, 구산보건지소) (구산동)",구산동,아니오,02-351-8703
서울특별시,은평구,일반보건지소,은평구보건소,응암보건지소,"서울특별시 은평구 가좌로 195 (응암동, 응암보건지소) 응암동",응암동,아니오,02-351-8732
서울특별시,서대문구,보건소,서대문구보건소,서대문구보건소,"서울특별시 서대문구 연희로 242 (연희동, 서대문구보건소), 서대문구청별관 ",연희동,아니오,02-330-1899
서울특별시,서대문구,일반보건지소,서대문구보건소,가좌보건지소,"서울특별시 서대문구 수색로 100-55 (북가좌동, 북가좌1동주민센터) 3층",북가좌동,아니오,02-3140-8357
서울특별시,마포구,보건소,마포구보건소,마포구보건소,"서울특별시 마포구 월드컵로 212 (성산동, 마포구청), 마포구보건소 마포구보건소",성산동,아니오,02-3153-9114
서울특별시,마포구,일반보건지소,마포구보건소,서강보건지소,"서울특별시 마포구 독막로 165 (창전동, 서강동주민센터) 3층 서강보건지소",서강동,아니오,02-3153-9842
서울특별시,마포구,일반보건지소,마포구보건소,아현보건지소,"서울특별시 마포구 마포대로11길 44-81 (아현동, 아현문화건강센터) 2층 아현보건지소",아현동,아니오,02-3153-9882
서울특별시,양천구,보건소,양천구보건소,양천구보건소,"서울특별시 양천구 목동서로 339 (신정동, 양천보건소) 양천구보건소",신정동,아니오,02-2620-4340
서울특별시,양천구,일반보건지소,양천구보건소,목동보건지소,"서울특별시 양천구 목동중앙본로7가길 11 (목동, 목동보건지소) 목동보건지소",목동,아니오,02-2084-5251
서울특별시,양천구,건강생활지원센터,양천구보건소,양천모자건강증진센터,서울특별시 양천구 남부순환로83길 54 (신월동) 2층,신월6동,아니오,02-2084-5491
서울특별시,양천구,일반보건지소,양천구보건소,양천구보건지소,서울특별시 양천구 남부순환로 407 (신월동) 신월보건지소,신월동,아니오,02-2620-4751
서울특별시,강서구,보건소,강서구보건소,강서구보건소,"서울특별시 강서구 공항대로 561 (염창동, 강서보건소) 강서구보건소",염창동,아니오,02-2600-5800
서울특별시,강서구,일반보건지소,강서구보건소,방화보건지소 ,"서울특별시 강서구 금낭화로 162 (방화동, 방화 메이빌 아파트) 1층",방화3동,아니오,02-2600-5922
서울특별시,구로구,보건소,구로구보건소,구로구보건소,"서울특별시 구로구 구로중앙로28길 66 (구로동, 구로5동 주민센터, 구로구보건소) ",구로동,아니오,02-860-2600
서울특별시,구로구,일반보건지소,구로구보건소,오류보건지소,서울특별시 구로구 오리로10길 44-3 (오류동) ,오류동,아니오,02-860-8160
서울특별시,구로구,일반보건지소,구로구보건소,G밸리보건지소,"서울특별시 구로구 디지털로 243 (구로동, 지하이시티) ",구로동,아니오,02-860-8171
서울특별시,금천구,보건소,금천구보건소,금천구보건소,"서울특별시 금천구 시흥대로73길 70 (시흥동, 금천구청종합청사), 금천구보건소 금천구보건소",시흥동,아니오,02-2627-2422
서울특별시,금천구,일반보건지소,금천구보건소,박미보건지소,"서울특별시 금천구 시흥대로12길 10-5 (시흥동, 남부도로사업소 청사) 동네방네마을이음센터 2층",시흥동,아니오,02-2627-2791
서울특별시,영등포구,보건소,영등포구보건소,영등포구보건소,"서울특별시 영등포구 당산로 123 (당산동3가, 영등포구청) 영등포구보건소",당산동3가,아니오,02-2670-3114
서울특별시,동작구,보건소,동작구보건소,동작구보건소,"서울특별시 동작구 장승배기로10길 42 (상도동, 동작문화복지센타) 동작구보건소",상도동,아니오,02-820-1439
서울특별시,동작구,일반보건지소,동작구보건소,동작보건지소,"서울특별시 동작구 상도로 34 (대방동, 산맥빌딩) 동작구보건지소",대방동,아니오,02-820-3107
서울특별시,관악구,보건소,관악구보건소,관악구보건소,"서울특별시 관악구 관악로 145 (봉천동, 관악구청), 2동 관악구보건소",봉천동,아니오,02-879-7010
서울특별시,관악구,일반보건지소,관악구보건소,관악구보건지소 ,"서울특별시 관악구 봉천로 279-7 (봉천동, 관악구보건지소) 관악구보건지소",봉천동,아니오,02-879-7403
서울특별시,서초구,보건소,서초구보건소,서초구보건소,"서울특별시 서초구 남부순환로 2584 (서초동, 서초구청, 서초구의회), 보건소 서초구 보건소",서초2동,아니오,02-2155-8114
서울특별시,서초구,일반보건지소,서초구보건소,서초방배지소,"서울특별시 서초구 방배로 173 (방배동, 방배열린문화센터(방배4동주민센터)), 방배열린문화센터 방배보건지소",방배4동,아니오,02-2155-8160
서울특별시,서초구,일반보건지소,서초구보건소,서초보건지소,"서울특별시 서초구 서초대로38길 12 (서초동, 마제스타시티, 힐스테이트 서리풀), 타워 원 서초보건지소",서초3동,아니오,02-2155-8264
서울특별시,강남구,보건소,강남구보건소,강남구보건소,"서울특별시 강남구 선릉로 668 (삼성동, 강남구 보건소) ",삼성2동,아니오,02-3423-7200
서울특별시,송파구,보건소,송파구보건소,송파구보건소,"서울특별시 송파구 올림픽로 326 (신천동, 송파구청), 보건소 보건소",신천동,아니오,02-2147-2356
서울특별시,송파구,일반보건지소,송파구보건소,송파구보건지소,"서울특별시 송파구 양산로 5 (거여동, 송파구 보건지소) 보건지소",거여동,아니오,02-2147-4855
서울특별시,강동구,보건소,강동구보건소,강동구보건소,"서울특별시 강동구 성내로 45 (성내동, 강동구보건소) .",성내동,아니오,02-3425-6600
서울특별시,강동구,일반보건지소,강동구보건소,강일보건지소,"서울특별시 강동구 아리수로93길 9-14 (강일동, 강일동복합청사) 1층, 2층",강일동,아니오,02-3425-6878
서울특별시,강동구,일반보건지소,강동구보건소,천호보건지소,"서울특별시 강동구 구천면로 297-5 (천호동, 이연아마빌레) 1층, 2층",천호동,아니오,02-3425-7940
충청북도,청주시 상당구,보건소,청주시상당보건소,청주시상당보건소,충청북도 청주시 상당구 남일면 단재로 480 상당보건소,남일면,아니오,043-201-3100
충청북도,청주시 상당구,일반보건지소,청주시상당보건소,낭성보건지소,충청북도 청주시 상당구 낭성면 낭성시내길 25 (낭성보건지소) ,낭성면,아니오,043-201-3521
충청북도,청주시 상당구,일반보건지소,청주시상당보건소,문의보건지소,충청북도 청주시 상당구 문의면 문의시내1길 12 (문의보건지소) ,문의면,아니오,043-201-3551
충청북도,청주시 상당구,일반보건지소,청주시상당보건소,미원보건지소,충청북도 청주시 상당구 미원면 미원초정로 19-21 미원보건지소,미원면,아니오,043-201-3530
충청북도,청주시 상당구,일반보건지소,청주시상당보건소,가덕보건지소,충청북도 청주시 상당구 가덕면 보청대로 4646 가덕보건지소,가덕면,아니오,043-201-3541
충청북도,청주시 상당구,보건진료소,청주시상당보건소,갈산보건진료소,충청북도 청주시 상당구 낭성면 갈산무성길 5 갈산보건진료소,낭성면,아니오,043-201-3682
충청북도,청주시 상당구,보건진료소,청주시상당보건소,금관보건진료소,충청북도 청주시 상당구 미원면 운암계원로 615 금관보건진료소,미원면,아니오,043-201-3683
충청북도,청주시 상당구,보건진료소,청주시상당보건소,기암보건진료소,충청북도 청주시 상당구 미원면 터기암길 6-42 기암보건진료소,미원면,아니오,043-201-3684
충청북도,청주시 상당구,보건진료소,청주시상당보건소,두모보건진료소,충청북도 청주시 상당구 문의면 두모1길 13-20 두모보건진료소,문의면,아니오,043-201-3690
충청북도,청주시 상당구,보건진료소,청주시상당보건소,병암보건진료소,충청북도 청주시 상당구 가덕면 병암3길 11-6 병암보건진료소,가덕면,아니오,043-201-3689
충청북도,청주시 상당구,보건진료소,청주시상당보건소,상야보건진료소,충청북도 청주시 상당구 가덕면 상야길 30 상야보건진료소,가덕면,아니오,043-201-3688
충청북도,청주시 상당구,보건진료소,청주시상당보건소,용곡보건진료소,충청북도 청주시 상당구 미원면 미원초정로 472 용곡보건진료소,미원면,아니오,043-201-3685
충청북도,청주시 상당구,보건진료소,청주시상당보건소,운교보건진료소,충청북도 청주시 상당구 미원면 쌍이운교로 585 운교보건진료소,미원면,아니오,043-201-3686
충청북도,청주시 상당구,보건진료소,청주시상당보건소,소전보건진료소,충청북도 청주시 상당구 문의면 소전길 1 (소전보건진료소) ,문의면,아니오,043-201-3691
충청북도,청주시 상당구,보건진료소,청주시상당보건소,행정보건진료소,충청북도 청주시 상당구 가덕면 행정노동길 10 (보건진료소) ,가덕면,아니오,043-201-3687
충청북도,청주시 상당구,건강생활지원센터,청주시상당보건소,용암건강생활지원센터,"충청북도 청주시 상당구 용암북로160번길 17 (용암동, 용암보건지소) 용암건강생활지원센터",용암동,아니오,043-201-3500
충청북도,청주시 상당구,보건진료소,청주시상당보건소,월오보건진료소,"충청북도 청주시 상당구 다리실로 75 (월오동, 월오보건진료소) ",월오동,아니오,043-201-3681
충청북도,청주시 서원구,일반보건지소,청주시서원보건소,남이보건지소,충청북도 청주시 서원구 남이면 척산길 7-12 ,남이면,아니오,043-201-3560
충청북도,청주시 서원구,일반보건지소,청주시서원보건소,현도보건지소,충청북도 청주시 서원구 현도면 선동1길 10 (보건소) ,현도면,아니오,043-201-3570
충청북도,청주시 서원구,보건진료소,청주시서원보건소,구미보건진료소,충청북도 청주시 서원구 남이면 저산척북로 300-19 ,남이면,아니오,043-201-3692
충청북도,청주시 서원구,보건진료소,청주시서원보건소,하석보건진료소,충청북도 청주시 서원구 현도면 하석길 7 (보건소) ,현도면,아니오,043-201-3693
충청북도,청주시 서원구,보건소,청주시서원보건소,청주시서원보건소,"충청북도 청주시 서원구 사직대로 227 (사직동, 서원구청) 서원보건소",사직동,아니오,043-201-3220
충청북도,청주시 흥덕구,일반보건지소,청주시흥덕보건소,강내보건지소,충청북도 청주시 흥덕구 강내면 태성탑연로 433 강내보건지소,강내면,아니오,043-201-3620
충청북도,청주시 흥덕구,일반보건지소,청주시흥덕보건소,오송보건지소,충청북도 청주시 흥덕구 오송읍 가로수로 174 (오송읍사무소) 오송보건지소,오송읍,아니오,043-201-3600
충청북도,청주시 흥덕구,일반보건지소,청주시흥덕보건소,옥산보건지소,"충청북도 청주시 흥덕구 옥산면 옥산시내1길 45-9, 보건소 (보건소) 옥산보건지소",옥산면,아니오,043-201-3630
충청북도,청주시 흥덕구,일반보건지소,청주시흥덕보건소,오송생명과학단지 보건지소,"충청북도 청주시 흥덕구 오송읍 오송생명3로 67, 보건소지소 (보건소지소) 오송생명과학단지 보건지소",오송읍,아니오,043-201-3612
충청북도,청주시 흥덕구,보건진료소,청주시흥덕보건소,공북보건진료소,충청북도 청주시 흥덕구 오송읍 정중연제로 641 공북보건진료소,오송읍,아니오,043-201-3695
충청북도,청주시 흥덕구,보건진료소,청주시흥덕보건소,금계보건진료소,충청북도 청주시 흥덕구 옥산면 금계2길 8 금계보건진료소,옥산면,아니오,043-201-3696
