시도군구,시도,군구,count,총인구수,ratio
강원특별자치도 강릉시,강원특별자치도,강릉시,19,209174,9.08334687867517
강원특별자치도 고성군,강원특별자치도,고성군,14,27294,51.29332454019198
강원특별자치도 동해시,강원특별자치도,동해시,4,88591,4.515131333882675
강원특별자치도 삼척시,강원특별자치도,삼척시,15,62309,24.073568826333275
강원특별자치도 속초시,강원특별자치도,속초시,1,82021,1.2191999609856012
강원특별자치도 양구군,강원특별자치도,양구군,8,20975,38.14064362336114
강원특별자치도 양양군,강원특별자치도,양양군,11,27681,39.738448755464034
강원특별자치도 영월군,강원특별자치도,영월군,14,37260,37.57380568974772
강원특별자치도 원주시,강원특별자치도,원주시,20,361498,5.532534066578515
강원특별자치도 인제군,강원특별자치도,인제군,11,32004,34.370703662042246
강원특별자치도 정선군,강원특별자치도,정선군,19,34139,55.654822929787045
강원특별자치도 철원군,강원특별자치도,철원군,13,41319,31.46252329436821
강원특별자치도 춘천시,강원특별자치도,춘천시,25,286168,8.736127030275922
강원특별자치도 태백시,강원특별자치도,태백시,3,38613,7.76940408670655
강원특별자치도 평창군,강원특별자치도,평창군,23,40642,56.591703164214366
강원특별자치도 홍천군,강원특별자치도,홍천군,28,67348,41.57510245293105
강원특별자치도 화천군,강원특별자치도,화천군,11,22942,47.94699677447476
강원특별자치도 횡성군,강원특별자치도,횡성군,17,46265,36.74483951150978
경기도 가평군,경기도,가평군,21,62274,33.72193852972348
경기도 고양시,경기도,고양시,4,1073751,0.37252584630887425
경기도 과천시,경기도,과천시,1,81071,1.2334866968459746
경기도 광명시,경기도,광명시,2,279943,0.7144311520559542
경기도 광주시,경기도,광주시,16,391866,4.083028382151042
경기도 구리시,경기도,구리시,3,186846,1.6056003339648695
경기도 군포시,경기도,군포시,2,260693,0.7671859236726725
경기도 김포시,경기도,김포시,14,486026,2.8805043351590243
경기도 남양주시,경기도,남양주시,16,732472,2.184383839928352
경기도 동두천시,경기도,동두천시,1,88539,1.1294457809552854
경기도 부천시,경기도,부천시,3,778874,0.38517141411832984
경기도 성남시,경기도,성남시,4,919856,0.43485067227913937
경기도 수원시,경기도,수원시,4,1197220,0.33410734869113445
경기도 시흥시,경기도,시흥시,8,519306,1.5405175368665105
경기도 안산시,경기도,안산시,9,628374,1.4322680441902436
경기도 안성시,경기도,안성시,26,189406,13.727125856625449
경기도 안양시,경기도,안양시,2,546078,0.366248045151059
경기도 양주시,경기도,양주시,8,269658,2.966720809321437
경기도 양평군,경기도,양평군,28,125381,22.331932270439697
경기도 여주시,경기도,여주시,23,114336,20.11614889448643
경기도 연천군,경기도,연천군,15,41487,36.15590425916552
