,행정구역1,행정구역2,총인구수,남자인구수,여자인구수
0,전국,합계,51313912,25558944,25754968
1,서울특별시,소계,9384325,4538354,4845971
2,서울특별시,종로구,139378,67240,72138
3,서울특별시,중구,121322,58651,62671
4,서울특별시,용산구,212175,101793,110382
5,서울특별시,성동구,277090,134390,142700
6,서울특별시,광진구,335335,161154,174181
7,서울특별시,동대문구,340983,167230,173753
8,서울특별시,중랑구,382284,187392,194892
9,서울특별시,성북구,424916,203824,221092
10,서울특별시,강북구,287490,139141,148349
11,서울특별시,도봉구,306722,148670,158052
12,서울특별시,노원구,497237,238609,258628
13,서울특별시,은평구,466474,221484,244990
14,서울특별시,서대문구,305857,145212,160645
15,서울특별시,마포구,363679,169882,193797
16,서울특별시,양천구,435548,212547,223001
17,서울특별시,강서구,562550,269623,292927
18,서울특별시,구로구,392311,192252,200059
19,서울특별시,금천구,227457,114471,112986
20,서울특별시,영등포구,374985,183769,191216
21,서울특별시,동작구,378360,182934,195426
22,서울특별시,관악구,481872,242598,239274
23,서울특별시,서초구,407768,194231,213537
24,서울특별시,강남구,549154,262618,286536
25,서울특별시,송파구,653989,314189,339800
26,서울특별시,강동구,459389,224450,234939
27,부산광역시,소계,3290964,1603859,1687105
28,부산광역시,중구,38476,18668,19808
29,부산광역시,서구,103889,49956,53933
30,부산광역시,동구,87619,42595,45024
31,부산광역시,영도구,106335,52207,54128
32,부산광역시,부산진구,360053,172807,187246
33,부산광역시,동래구,269784,130367,139417
34,부산광역시,남구,254348,123849,130499
35,부산광역시,북구,272932,134225,138707
36,부산광역시,해운대구,379702,181894,197808
37,부산광역시,사하구,296935,147333,149602
38,부산광역시,금정구,214642,104650,109992
39,부산광역시,강서구,142109,73702,68407
40,부산광역시,연제구,209331,100036,109295
41,부산광역시,수영구,174086,81657,92429
42,부산광역시,사상구,202376,101549,100827
43,부산광역시,기장군,178347,88364,89983
44,대구광역시,소계,2373844,1166110,1207734
45,대구광역시,중구,89685,42950,46735
46,대구광역시,동구,342703,167899,174804
47,대구광역시,서구,164513,81686,82827
48,대구광역시,남구,138806,66319,72487
49,대구광역시,북구,418563,207552,211011
50,대구광역시,수성구,408260,196713,211547
51,대구광역시,달서구,526576,258322,268254
52,대구광역시,달성군,261808,132810,128998
53,대구광역시,군위군,22930,11859,11071
54,인천광역시,소계,3000454,1500414,1500040
55,인천광역시,중구,159481,82604,76877
56,인천광역시,중구영종출장소,0,0,0
57,인천광역시,중구용유출장소,0,0,0
58,인천광역시,동구,59325,29718,29607
59,인천광역시,미추홀구,406937,204668,202269
60,인천광역시,연수구,392681,194710,197971
61,인천광역시,남동구,491660,244140,247520
62,인천광역시,부평구,495627,243992,251635
63,인천광역시,계양구,279708,139204,140504
64,인천광역시,서구,625675,315196,310479
65,인천광역시,서구검단출장소,0,0,0
66,인천광역시,강화군,69013,34553,34460
67,인천광역시,옹진군,20347,11629,8718
68,광주광역시,소계,1418241,700377,717864
69,광주광역시,동구,107152,52795,54357
70,광주광역시,서구,283582,138771,144811
71,광주광역시,남구,209472,100272,109200
72,광주광역시,북구,421473,208505,212968
73,광주광역시,광산구,396562,200034,196528
74,대전광역시,소계,1441562,719008,722554
75,대전광역시,동구,217079,109283,107796
76,대전광역시,중구,222919,109425,113494
77,대전광역시,서구,464741,228082,236659
78,대전광역시,유성구,367240,186028,181212
79,대전광역시,대덕구,169583,86190,83393
80,울산광역시,소계,1103402,567081,536321
81,울산광역시,중구,208568,105484,103084
82,울산광역시,남구,306762,156534,150228
83,울산광역시,동구,152104,79360,72744
84,울산광역시,북구,217045,112423,104622
85,울산광역시,울주군,218923,113280,105643
86,세종특별자치시,소계,386944,192704,194240
87,세종특별자치시,세종시,386944,192704,194240
88,경기도,소계,13635250,6857867,6777383
